shipment_id,time_step,day_of_week,hour_of_day,demand_level,volume,weight,origin,destination,distance,transport_mode,route,delivery_deadline,weather_condition,weather_severity,traffic_congestion,port_status,road_incident,driver_fatigue,port_congestion,transit_time,fuel_price,co2_emissions,fuel_cost,emission_penalty,shipment_urgency,customer_satisfaction
0,131,Saturday,11,0.8824704876096319,10.0,1065.7659100344652,Valencia,Cologne,2353,air,Valencia-Cologne(air) -> Cologne-Berlin(road) -> Berlin-Cologne(rail),382.92211043055534,fog,0.6883795169951362,2.1297985909969914,open,none,0.0,0.0,3.921666666666667,0.7671774814744223,1246.2555248294454,1805.1686139093158,218.4343203865093,0.3801298159490744,0.288353948340253
1,97,Friday,1,0.9776566929507646,10.0,1067.3252847373562,Warsaw,Cologne,1044,air,Warsaw-Frankfurt(air) -> Frankfurt-Cologne(road),149.979553535935,clear,0.0,1.1891741629398511,open,none,0.0,0.0,2.0,0.8448036786164097,564.8025777005446,881.9750404755317,106.7958362969099,0.561700744106775,0.6235954083638368
2,24,Tuesday,0,1.1521423613452002,69.41649459812565,1152.6871099504983,Cologne,Rotterdam,2807,rail,Cologne-Paris(rail) -> Paris-Budapest(rail) -> Budapest-Rotterdam(road),233.07364463861498,clear,0.0,1.2333090051914473,open,none,0.0,0.0,43.2737297196549,0.32691451840713276,112.08371729073986,917.6490531688216,16.81255759361098,0.6015439256023084,0.37855976414212567
3,125,Saturday,5,1.133101436646324,56.54464166463941,989.4555733543152,Paris,Lyon,391,rail,Paris-Lyon(rail),215.35424738713152,clear,0.0,1.0875812087765744,open,none,0.0,0.0,5.315553157895508,0.23090026775474876,12.860156498305962,90.28200469210677,1.929023474745894,0.6494095876881141,0.34280193403504045
4,81,Thursday,9,1.161464130343325,62.25524277083941,1196.1459634831497,Genoa,Vienna,2782,rail,Genoa-Vienna(rail) -> Vienna-Paris(rail) -> Paris-Vienna(rail),310.01754127412437,clear,0.0,1.849087185726714,open,none,0.0,0.0,64.30200688364647,0.29284408446262816,120.68384523691383,814.6922429750316,18.102576785537074,0.5683040978764594,0.13654014462743477
5,87,Thursday,15,0.9636589144672378,10.0,1026.4543456687509,Munich,Valencia,1358,air,Munich-Valencia(air),380.4879170536323,rain,0.35295874761238555,1.4712585230084851,open,none,0.0,0.0,2.263333333333333,0.9381450479838359,725.0685315920317,1274.0009751620491,135.1080687206873,0.46085347157727946,0.20837219308870714
6,130,Saturday,10,1.1459753512876305,68.91633794630373,916.6946053070839,Milan,Marseille,388,rail,Milan-Marseille(rail),329.1668982404275,rain,0.5671546794103437,1.1053853878560067,open,none,0.0,0.0,8.40170293318224,0.232696508026029,12.096762251700426,90.28624511409926,1.8145143377550639,0.6180551695992875,0.11176860187912561
7,49,Wednesday,1,1.0430724227700234,10.0,1173.705038787307,Budapest,Rome,3345,air,Budapest-Rome(air) -> Rome-Rotterdam(road) -> Rotterdam-Rome(road),216.2022892731742,clear,0.0,1.3957535014799023,open,none,0.0,0.0,5.575,1.232587681655104,1988.5269309850783,4123.005795136323,357.51246331264895,0.371329517878043,0.10547616993661144
8,153,Sunday,9,1.0658322276283514,51.92624128009091,660.8246723471804,Brussels,Antwerp,41,rail,Brussels-Antwerp(rail),394.7157634048973,clear,0.0,1.1896621232260403,open,none,0.0,0.0,0.6097018381533456,0.2464558087747251,0.9118601966477151,10.104688159763729,0.13677902949715726,0.5471403943251711,0.4815457349749648
9,23,Monday,23,0.9518331180547125,31.87081538754394,1355.9041246677823,Cologne,Paris,577,road,Cologne-Rotterdam(road) -> Rotterdam-Paris(road),156.00881212901407,clear,0.0,1.005578591397204,open,none,0.15,0.0,11.120861238693578,0.5426473650276568,86.41833624225933,313.10752962095796,15.03973888801726,0.5783186464516432,0.2971032763334335
10,114,Friday,18,1.1144855859843663,50.814099388553906,1127.9359033080423,Valencia,Marseille,2980,sea,Valencia-Berlin(sea) -> Berlin-Marseille(sea),435.70297310079224,clear,0.0,1.5195728792873908,open,none,0.0,0.02114864141197279,154.13650493360603,0.17173237245462733,38.50279582586888,511.76246991478945,5.775419373880331,0.11382837816534627,0.3111287179939558
11,32,Tuesday,8,1.062239603810727,58.504354969410244,640.6382889136729,Warsaw,Munich,812,road,Warsaw-Munich(road),244.29418147187025,clear,0.0,1.7982359059770858,open,none,0.15,0.0,27.986544816690046,0.6331898762766498,62.581236980020606,514.1501795366396,10.853180273273994,0.29617636421354954,0.4280365494517385
12,161,Sunday,17,1.0841132454609972,10.0,1131.9061054317467,Prague,London,1037,air,Prague-London(air),306.88667027106374,rain,0.4654662758510666,1.3523842547708966,open,none,0.0,0.0,2.0,0.9416132315268906,606.9012901662722,976.4529210933855,112.86846285557439,0.556855549548227,0.06628394540409518
13,78,Thursday,6,0.9939534576903385,10.0,1048.3759119373453,Frankfurt,Rotterdam,2023,air,Frankfurt-Warsaw(air) -> Warsaw-Rotterdam(road),266.4299675598179,clear,0.0,1.2087974386383742,open,none,0.0,0.0,3.3716666666666666,1.1087296842317924,1035.9000650640148,2242.9601512009162,199.67215670731005,0.48595005406697017,0.39920017613635417
14,56,Wednesday,8,0.8342968504852801,29.759962905253456,736.5385150030986,Barcelona,Warsaw,1866,rail,Barcelona-Warsaw(rail),146.69491486792552,clear,0.0,2.005739381987386,open,none,0.0,0.0,46.783871084855775,0.35222689123146667,49.886657087365094,657.2553790379168,7.482998563104764,0.7988418085534574,0.11403428582919577
15,12,Monday,12,0.982687847171489,10.0,1100.2674055177497,Lyon,Genoa,1676,air,Lyon-Rotterdam(air) -> Rotterdam-Frankfurt(rail) -> Frankfurt-Genoa(road),100.87672836237466,clear,0.0,1.0282790971217808,open,none,0.0,0.0,2.7933333333333334,1.1003201781823735,950.7373500581848,1844.136618633658,144.16175565575617,0.6518721193960422,0.4450936135104128
16,120,Saturday,0,0.9636258204810002,62.053516240782265,891.1129309540582,Cologne,Berlin,1524,rail,Cologne-Berlin(rail) -> Berlin-Vienna(road) -> Vienna-Berlin(rail),265.45077460314684,clear,0.0,1.0527184343886231,open,none,0.0,0.0,20.05428617510327,0.24336960069434363,44.51330088601104,370.8952714581797,6.676995132901656,0.7075820423280885,0.08038668404949317
17,145,Sunday,1,0.9726777317773525,67.96417048766837,1018.8472883185453,London,Genoa,1039,rail,London-Genoa(rail),426.4323120232116,clear,0.0,1.3932380623889367,open,none,0.0,0.0,18.094679335276314,0.24855451054486233,36.4341117487092,258.248136456112,5.46511676230638,0.33094614662798066,0.2518237056401001
18,88,Thursday,16,0.8945210398959875,10.0,723.7508193578108,Copenhagen,Frankfurt,3521,air,Copenhagen-Madrid(air) -> Madrid-Frankfurt(rail),318.3817365565503,clear,0.0,1.0870266093397734,open,none,0.0,0.0,5.868333333333333,1.0052236338163805,1264.3088251645613,3539.392414667476,227.39592395369147,0.4160304390724161,0.1418541479800915
19,153,Sunday,9,0.950878143274996,58.12949554978966,848.6491055954734,Milan,Frankfurt,903,road,Milan-Lyon(road) -> Lyon-Frankfurt(air),363.70938120328435,clear,0.0,1.135483716557748,open,none,0.15,0.0,19.652384424323223,0.4273398893698702,85.54304087859805,385.8879201009928,16.27531194457416,0.5988176979945261,0.22642987199860173
20,86,Thursday,14,0.8172610342321257,40.39427444385723,668.0392667097399,Warsaw,Valencia,6249,rail,Warsaw-Valencia(rail) -> Valencia-Copenhagen(air) -> Copenhagen-Valencia(sea),505.9103699217755,clear,0.0,1.352583734551001,open,none,0.0,0.0,105.65369696511506,0.29889051640432424,134.08900378578943,1867.766837010622,20.113350567868412,0.0,0.27777597297302953
21,20,Monday,20,1.1672693126098044,51.46827294137757,948.9502326643277,Rotterdam,Valencia,1434,sea,Rotterdam-Valencia(sea),268.6546195359556,clear,0.0,1.4552630251630958,open,none,0.0,0.042889452436489,72.54503036235096,0.2332104514252016,15.944409325108516,334.4237873437391,2.3916613987662774,0.3855756341067407,0.15451300059933498
22,116,Friday,20,1.1384485400093605,59.482167655560524,1156.9575270238922,Barcelona,Vienna,2217,road,Barcelona-Hamburg(road) -> Hamburg-Prague(rail) -> Prague-Vienna(rail),406.881209537535,clear,0.0,1.4280131214870888,open,none,0.15,0.0,60.67984756479012,0.4170031080667351,298.9918004794536,924.4958905839517,53.02658894763886,0.4651979841041083,0.4869821051621779
23,57,Wednesday,9,1.088382980035842,55.83206306603166,1050.5420943444874,Rome,Brussels,1173,rail,Rome-Brussels(rail),335.69516584791546,clear,0.0,2.336976768137074,open,none,0.0,0.0,34.26592186280985,0.34540122023283254,44.134266607845746,405.1556313331126,6.6201399911768615,0.3355080569201409,0.05335746008589188
24,71,Wednesday,23,1.1095855795301308,10.0,972.7247837170236,Genoa,Warsaw,1981,air,Genoa-Hamburg(air) -> Hamburg-Copenhagen(sea) -> Copenhagen-Warsaw(road),151.6530403062599,clear,0.0,1.4437990111814858,open,none,0.0,0.0,3.3016666666666667,1.124572103061417,966.2731674130084,2227.7773361646673,154.58984390505228,0.6655782661562335,0.1402518033821729
25,19,Monday,19,0.8200071275443729,48.82063096341286,955.5731759031514,Madrid,Prague,1959,rail,Madrid-Valencia(rail) -> Valencia-Prague(road),96.61991651808074,storm,0.8829993297222812,3.0,open,none,0.0,0.0,138.3298382597231,0.33640011417001997,72.43591906692497,659.0078236590691,10.865387860038744,0.8206334724698654,0.0
26,114,Friday,18,0.8144791422767861,10.0,531.588086159429,Genoa,London,1039,air,Genoa-London(air),270.72070911401,rain,0.6855309351183674,2.057864701088798,open,none,0.0,0.0,2.0,0.8089455086461246,284.355530872292,840.4943834833234,55.1133709345189,0.5387988181433166,0.35999460698068225
27,87,Thursday,15,0.9586679443488767,51.2027516632661,933.6200261829771,Marseille,Frankfurt,839,rail,Marseille-Lyon(rail) -> Lyon-Frankfurt(road),334.05945105296223,clear,0.0,1.4583570733218008,open,none,0.0,0.0,15.294519806462386,0.33206824013517,25.998951947336927,278.60525347340763,3.899842792100539,0.5382342482450629,0.21249976518682406
28,17,Monday,17,0.8505938765245522,33.38871904892646,874.5603015427381,Marseille,Genoa,634,sea,Marseille-Lyon(sea) -> Lyon-Genoa(sea),173.68282782601054,fog,0.7419626827369219,3.0,open,none,0.0,0.016918733675148404,112.30894637678155,0.2153659928554301,7.302517531786201,136.54203947034267,1.09537762976793,0.5388619536233157,0.07222263041167293
29,82,Thursday,10,0.8246423855918004,47.354053761075946,840.631988120359,Hamburg,Munich,1261,sea,Hamburg-Antwerp(sea) -> Antwerp-Amsterdam(air) -> Amsterdam-Munich(rail),226.86850603838366,clear,0.0,1.3986040538816238,open,none,0.0,0.009470810752215189,59.34476032972158,0.20137587085839107,11.979338003846742,253.93497315243113,1.7969007005770112,0.5585524899360272,0.24937321728226067
30,47,Tuesday,23,0.8327818121645609,10.0,827.315640753112,Hamburg,Warsaw,755,air,Hamburg-Warsaw(air),194.80851743006696,clear,0.0,1.3182402268788125,open,none,0.0,0.0,2.0,1.1689443856009736,317.0037985762186,882.5530111287351,50.28922623777431,0.5536524709498885,0.4349549572054494
31,53,Wednesday,5,1.127802540529748,55.9576776319364,806.5444694489256,Rome,Marseille,2881,road,Rome-Lyon(road) -> Lyon-Hamburg(rail) -> Hamburg-Marseille(sea),296.0392182169692,clear,0.0,1.1591793706542934,open,none,0.15,0.0,64.0089188647212,0.593673403780051,262.7025444020902,1710.3730762903267,47.334724637318224,0.3949346363050514,0.36671774456389866
32,6,Monday,6,1.071445835277734,10.0,1153.860890494359,Frankfurt,Marseille,798,air,Frankfurt-Marseille(air),280.9047124235304,storm,0.5377868219406483,2.1771923269752285,open,none,0.0,0.0,2.0,1.0287198289459427,459.92361621668726,820.9184234988622,69.77605361075696,0.341825479294116,0.689399317041479
33,146,Sunday,2,1.056528694632487,52.107824998364784,1045.2187702765439,Berlin,Vienna,523,rail,Berlin-Vienna(rail),401.3513883797413,clear,0.0,1.4178149300250167,open,none,0.0,0.0,9.268965105038546,0.2604772472750147,18.441392401758904,136.2296003248327,2.7662088602638355,0.5244143527004312,0.17108805365205332
